Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Papua New Guinea,PNG,3770,3780,3730,4160,4350
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Poland,POL,34400,35360,39940,45260,47450
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Portugal,PRT,36860,35320,38400,43770,47620
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Romania,ROU,33160,33870,37310,41320,46590
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Russian Federation,RUS,29990,30750,38030,40140,43530
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Samoa,WSM,6380,6220,6110,6110,6890
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,San Marino,SMR,52590,49830,58350,69360,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Saudi Arabia,SAU,56730,46130,56590,61970,61440
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Serbia,SRB,19530,20400,22800,25090,28090
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Seychelles,SYC,32850,29950,28720,29630,32450
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Singapore,SGP,93310,87750,112140,114720,118760
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sint Maarten (Dutch part),SXM,44100,37930,39280,45580,48320
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Slovak Republic,SVK,33130,34700,36700,40370,43500
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Solomon Islands,SLB,2490,2460,2550,2710,2860
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,South Africa,ZAF,13030,12460,13450,14450,14990
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Spain,ESP,43820,39070,43960,48940,53680
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Lucia,LCA,17590,14560,18330,22530,23670
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Martin (French part),MAF,..,..,..,..,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Vincent and the Grenadines,VCT,15310,15280,15590,18250,20210
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sweden,SWE,58700,59520,65710,69750,71780
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Switzerland,CHE,71170,70510,80310,88900,90000
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tunisia,TUN,12170,11530,12050,13240,13560
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Turkiye,TUR,28020,28340,31230,37980,44160
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Turks and Caicos Islands,TCA,26120,16480,21300,23740,23700
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Ukraine,UKR,14390,15880,17330,15540,18120
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United Kingdom,GBR,49860,46980,53130,57040,58140
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United States,USA,66290,64720,71770,78710,82340
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Norway,NOR,73110,69890,89010,124910,109260
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Slovenia,SVN,42090,41820,45940,50290,54950
Income share held by lowest 20%,SI.DST.FRST.20,Albania,ALB,8.5,8.4,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Andorra,AND,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Armenia,ARM,8.9,10.2,9.4,9.2,..
Income share held by lowest 20%,SI.DST.FRST.20,Australia,AUS,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Austria,AUT,7.9,7.9,7.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Azerbaijan,AZE,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Bahamas, The",BHS,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Belarus,BLR,10,10.3,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Belgium,BEL,9,9.4,9.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bosnia and Herzegovina,BIH,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Brazil,BRA,3.1,4.5,3.3,3.6,..
Income share held by lowest 20%,SI.DST.FRST.20,Canada,CAN,7.7,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Channel Islands,CHI,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Dem. Rep.",COD,..,5.5,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Rep.",COG,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Costa Rica,CRI,4.4,4,4.3,4.5,4.5
Income share held by lowest 20%,SI.DST.FRST.20,Cote d'Ivoire,CIV,..,..,7.6,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Croatia,HRV,8,7.9,8.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cyprus,CYP,8.5,8.5,8.6,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Czechia,CZE,10.1,9.8,9.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Denmark,DNK,9.5,9.4,9.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Dominica,DMA,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Ecuador,ECU,4.5,4.1,4.6,4.7,4.7
Income share held by lowest 20%,SI.DST.FRST.20,"Egypt, Arab Rep.",EGY,9,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,El Salvador,SLV,6.3,..,5.6,5.6,..
Income share held by lowest 20%,SI.DST.FRST.20,Equatorial Guinea,GNQ,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Eritrea,ERI,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Estonia,EST,8.1,8.1,8.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Faroe Islands,FRO,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Finland,FIN,9.2,9.5,9.3,..,..
Income share held by lowest 20%,SI.DST.FRST.20,France,FRA,7.8,8,7.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,French Polynesia,PYF,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Georgia,GEO,6.8,7,7,7,..
Income share held by lowest 20%,SI.DST.FRST.20,Germany,DEU,7.9,7.8,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Gibraltar,GIB,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Greece,GRC,7,6.7,7.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Greenland,GRL,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Grenada,GRD,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Guatemala,GTM,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Guinea,GIN,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Guinea-Bissau,GNB,..,..,7.9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Guyana,GUY,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Honduras,HND,3.6,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Hungary,HUN,8,8.1,9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Iceland,ISL,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Ireland,IRL,8.6,9,8.9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Isle of Man,IMN,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Israel,ISR,5.3,5.5,5.6,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Italy,ITA,6.3,6.3,6.5,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Jamaica,JAM,..,..,5.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Japan,JPN,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Jordan,JOR,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Kazakhstan,KAZ,9.8,9.8,9.8,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Kenya,KEN,..,7.3,7.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Kiribati,KIR,9.5,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Kosovo,XKX,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Latvia,LVA,7.1,6.9,7.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Liechtenstein,LIE,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Luxembourg,LUX,7.2,7.1,7.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,North Macedonia,MKD,5.8,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Malta,MLT,8.2,8,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Marshall Islands,MHL,7.2,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Mauritania,MRT,7.8,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Mauritius,MUS,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Moldova,MDA,10,..,10.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Monaco,MCO,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Montenegro,MNE,5.9,6.1,6.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Morocco,MAR,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Netherlands,NLD,8.6,9.2,9.4,..,..
Income share held by lowest 20%,SI.DST.FRST.20,New Caledonia,NCL,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,New Zealand,NZL,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Papua New Guinea,PNG,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Poland,POL,8.6,8.6,8.6,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Portugal,PRT,7.6,6.9,7.4,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Romania,ROU,5.7,5.6,6,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Russian Federation,RUS,6.7,7.4,6.9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Samoa,WSM,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,San Marino,SMR,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Saudi Arabia,SAU,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Serbia,SRB,6.4,6.6,7.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Seychelles,SYC,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Singapore,SGP,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Slovak Republic,SVK,9.5,9.1,9.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Solomon Islands,SLB,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,South Africa,ZAF,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Spain,ESP,6.2,6,6.4,..,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Lucia,LCA,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Martin (French part),MAF,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Vincent and the Grenadines,VCT,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Sweden,SWE,8.1,8.2,7.8,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Switzerland,CHE,7.4,7.5,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Tunisia,TUN,..,..,7.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Turkiye,TUR,5.2,5.3,5.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Turks and Caicos Islands,TCA,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Ukraine,UKR,9.7,10,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,United Kingdom,GBR,7.5,7.7,7.7,..,..
Income share held by lowest 20%,SI.DST.FRST.20,United States,USA,5.2,5.7,6.1,5.2,..
Income share held by lowest 20%,SI.DST.FRST.20,Norway,NOR,8.8,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Slovenia,SVN,10.1,10.3,10.2,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,79.282,76.989,76.463,76.833,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,75.439,72.173,72.043,73.372,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.9,83.2,83.3,83.2,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.8951219512195,81.1926829268293,81.190243902439,81.0926829268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,73.102,66.868,69.366,73.488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,71.205,72.677,71.598,74.358,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.2268292682927,72.4572195121951,72.3706829268293,73.1114634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.9951219512195,80.6951219512195,81.790243902439,81.6975609756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.241,76.225,75.3,75.293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,75.338,74.009,72.75,73.425,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,82.2239024390244,81.6604878048781,81.5870731707317,81.2956097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,81.39,81.264,81.232,81.583,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,60.276,59.739,59.193,59.743,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,62.747,63.785,63.519,63.053,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.427,79.277,77.023,77.32,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,59.319,59.032,58.598,58.916,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,78.4243902439025,77.7243902439024,76.4243902439025,77.5756097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,81.397,81.391,81.203,81.889,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czechia,CZE,79.2292682926829,78.1756097560976,77.2219512195122,79.0292682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,81.4512195121951,81.6024390243903,81.4048780487805,81.3048780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,73.559,73.649,72.814,72.981,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,77.297,72.153,73.67,77.894,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.358,70.99,70.221,70.159,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.559,71.061,70.748,71.475,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,61.644,60.708,60.594,61.19,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,67.3,67.133,66.536,66.604,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,78.6463414634147,78.5951219512195,76.9439024390244,77.9439024390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,82.6463414634146,82.8975609756098,83.0975609756098,83.3,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.8268292682927,82.1756097560976,82.3243902439024,82.2292682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,82.996,82.217,79.486,83.55,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,73.47,72.765,71.694,71.587,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,81.2926829268293,81.0414634146342,80.790243902439,80.7056097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,82.363,82.198,79.329,82.83,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.6390243902439,81.2878048780488,80.0829268292683,80.6365853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.9443902439024,71.8507317073171,71.8139024390244,71.5404878048781,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,74.863,74.924,74.936,75.335,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,73.129,71.797,69.237,68.674,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,59.72,59.327,58.892,58.985,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,60.882,59.999,59.652,59.861,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,69.124,68.486,65.673,65.989,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,72.881,71.462,70.123,70.728,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,76.3195121951219,75.5682926829269,74.1634146341463,76.0170731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,83.1634146341463,83.0634146341463,83.1658536585366,82.1707317073171,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,82.7024390243903,82.5560975609756,82.3536585365854,83.0560975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,80.737,80.588,80.525,80.762,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.8048780487805,82.6487804878049,82.5,82.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,83.4975609756098,82.1951219512195,82.6463414634146,82.9,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,71.767,71.869,70.5,70.629,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,84.3563414634146,84.56,84.4456097560976,83.9963414634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,76.044,75.184,74.256,74.215,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,73.18,71.37,70.23,74.44,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,62.943,62.675,61.427,62.055,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,67.15,67.266,67.417,67.661,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,79.022,76.567,76.806,79.524,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,75.3878048780488,75.1853658536585,72.9804878048781,74.580487804878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,84.1609756097561,81.6585365853659,84.4024390243902,84.319512195122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,82.6390243902439,82.1439024390244,82.5975609756098,83.0463414634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,76.6024390243903,74.3951219512195,73.2463414634146,74.4248780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,82.8585365853659,82.3487804878049,82.5073170731707,82.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,64.746,64.977,65.269,65.146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,65.687,64.532,64.364,64.691,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.2358536585366,74.1770731707317,73.680243902439,73.5146341463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,70.935,70.166,68.846,68.621,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,76.6829268292683,75.9317073170732,73.8243902439024,76.1878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,74.27,73.92,74.042,74.973,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,82.1121951219512,81.3585365853659,81.309756097561,81.7146341463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,80.4197073170732,80.8349512195122,79.1273414634146,80.9820731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,82.0560975609756,82.2560975609756,82.2073170731707,82.7609756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,65.474,65.787,65.351,65.958,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,77.9048780487805,76.5,75.5024390243902,77.3048780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,81.6756097560976,80.9756097560976,81.3780487804878,81.5804878048781,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,75.6073170731707,74.2536585365854,72.809756097561,75.3048780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,73.0839024390244,71.3387804878049,69.900243902439,72.5456097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,72.157,72.768,72.767,72.598,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,77.304,76.239,76.936,77.905,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.9365853658537,74.4780487804878,72.780487804878,75.4821951219512,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,74.0463414634146,77.2365853658537,73.3975609756097,73.8487804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,83.5951219512195,83.5439024390244,83.0926829268293,82.8951219512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,75.437,74.584,73.972,74.409,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,77.6658536585366,76.8658536585366,74.6146341463415,77.0658536585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,70.382,70.199,70.348,70.742,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,66.175,65.252,62.341,61.48,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,83.8317073170732,82.3317073170732,83.2292682926829,83.0829268292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,73.445,73.416,71.111,71.294,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,79.983,80.149,80.379,80.55,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.835,72.126,69.629,68.972,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,83.109756097561,82.3560975609756,83.0560975609756,83.109756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,83.9048780487805,83,83.7512195121951,83.4536585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,75.993,75.292,73.772,74.263,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkiye,TUR,77.832,75.85,76.032,78.475,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,75.326,75.001,74.587,74.925,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.8273170731707,71.1851219512195,69.6478048780488,68.5879268292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,81.4048780487805,80.3512195121951,80.7,82.0585365853659,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,82.9585365853659,83.209756097561,83.1634146341463,82.5609756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,81.5292682926829,80.5317073170732,80.6756097560976,81.2829268292683,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1.414,1.4,1.39,1.376,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,1.575,1.575,1.575,1.575,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.657,1.581,1.7,1.63,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.46,1.44,1.48,1.41,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,1.81,1.7,1.52,1.67,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,1.398,1.394,1.389,1.38,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.382,1.474,1.483,1.495,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.6,1.55,1.6,1.53,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bosnia and Herzegovina,BIH,1.368,1.359,1.35,1.346,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,1.703,1.649,1.641,1.626,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Canada,CAN,1.47,1.41,1.44,1.33,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Channel Islands,CHI,1.441,1.447,1.457,1.469,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",COD,6.253,6.206,6.156,6.106,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,4.296,4.234,4.171,4.095,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,1.632,1.555,1.533,1.522,..
